id,territory,class,season_relevant,U,R,C,rank,state,path
4D-19,4d_system,RULING_UNEXECUTED,false,2,3,5,7.0,open,4d_system/BACKLOG.md
4D-20,4d_system,ABANDONED,false,3,2,5,7.0,open,4d_system/outputs/daemon_state.json
4D-22,4d_system,RULING_UNEXECUTED,false,2,3,5,7.0,open,4d_system/ARCHITECTURAL_SCAN_REPORT.md
ARC4-2,04 - Architect System,DEBT_HIDDEN,false,3,2,5,7.0,open,F:/backup/04 - Architect System/ANALYSES/2026-07-20_ROADMAP-FOR-SENIOR-REVIEW.md
INB-1,00 - Inbox,OPEN_WORK,false,3,2,5,7.0,open,F:/backup/00 - Inbox/2026-08-16 OWNER-PENDING — All Open Items (Master Checklist).md
INB-2,00 - Inbox,RULING_UNEXECUTED,false,2,3,5,7.0,open,F:/backup/00 - Inbox/2026-08-18 NOTE — A2-001 development_canonical owner-approved.md
INB-3,00 - Inbox,OPEN_WORK,false,3,2,5,7.0,open,F:/backup/00 - Inbox/AGENT_QUESTIONS.md
PRJ-8,03 - Projects,DEBT_HIDDEN,true,3,2,5,7.0,open,F:/backup/03 - Projects/اونلی فنز/PROJECT.md
PRJ-9,03 - Projects,OPEN_WORK,false,2,3,5,7.0,open,F:/backup/03 - Projects/اونلی فنز/PROJECT.md
PRJ-16,03 - Projects,RULING_UNEXECUTED,false,3,2,5,7.0,open,F:/backup/03 - Projects/_OCTOPUS-PMO/FORENSIC-REPORT-2026-08-03.md
SML-6,01-TRUTH,OPEN_WORK,true,3,2,5,7.0,open,01-TRUTH/SEASON-5-2026-09-04.md
F-030,lanes,OPEN_WORK,false,2,3,4,6.8,open,F:/backup/09-LANES/BIZ-LEGS-TEACH-20260905/LANE-REPORT.md + P-PAINTING-B2B-LEADS
F-033,surfaces,OPEN_WORK,false,2,3,4,6.8,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-035,lanes,DOC_RUNTIME_DISCREPANCY,false,2,3,4,6.8,open,F:/backup/09-LANES/OCTOPUS-BODY-ADAPTATION-NEXT-20260915/CURRENT-STATE.json
F-036,07-HANDOFF,DOC_RUNTIME_DISCREPANCY,false,2,3,4,6.8,open,F:/backup/AGENTS.md → 07-HANDOFF/ENGINEERING-ENTRYPOINT-2026-09-04.md
F-050,surfaces,DEBT_HIDDEN,false,2,3,4,6.8,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-053,lanes,OPEN_WORK,false,2,3,4,6.8,open,F:/backup/09-LANES/L6/LANE-REPORT.md
F-073,06-EVIDENCE,RULING_UNEXECUTED,false,2,3,4,6.8,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/GOV-AUTONOMY-V3-2026-09-13.md
F-080,lanes,DEBT_HIDDEN,false,2,3,4,6.8,open,F:/backup/09-LANES/CORTEX-CONNECT-ALL-20260910/LANE-REPORT.md
F-083,lanes,OPEN_WORK,false,2,3,4,6.8,open,F:/backup/09-LANES/AIRTASKER-WATCH-20260908/LANE-REPORT.md
F-085,surfaces,OPEN_WORK,false,2,3,4,6.8,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
OPS-4,_ops,SEASON_LEFTOVER,true,2,3,4,6.8,open,_ops/governor/governor-alerts.md
OPS-5,_ops,SEASON_LEFTOVER,true,2,3,4,6.8,open,_ops/governor/governor-alerts.md
PRJ-1,03 - Projects,SEASON_LEFTOVER,true,3,2,4,6.8,open,F:/backup/03 - Projects/Ziman Galerry/PROJECT.md
PRJ-4,03 - Projects,SEASON_LEFTOVER,true,3,2,4,6.8,open,F:/backup/03 - Projects/Lead-نقاشی/PROJECT.md
RT-2,runtime,SEASON_LEFTOVER,true,2,3,4,6.8,open,138:systemctl status octopus-revenue-drive.service
SML-12,agent-prompts,SEASON_LEFTOVER,true,3,2,4,6.8,open,agent-prompts/MEGAPROMPT-CAPABILITY-GAP-2026-09-08.md
SE-12,07-HANDOFF (season sweep),SEASON_LEFTOVER,true,3,2,4,6.8,open,07-HANDOFF/OWNER-DIRECTIVE-2026-09-11-MAKE-DONE.md
4D-24,4d_system,DEBT_HIDDEN,false,2,3,4,6.8,open,4d_system/ARCHITECTURAL_SCAN_REPORT.md
4D-26,4d_system,DEBT_HIDDEN,false,2,3,4,6.8,open,4d_system/BLACK-BOX.md
ARC4-5,04 - Architect System,DEBT_HIDDEN,false,2,3,4,6.8,open,F:/backup/04 - Architect System/architect/PROJECT.md
DOC-2,OCTOPUS-DOCTOR,DOC_RUNTIME_DISCREPANCY,true,3,2,4,6.8,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها/F-AUTO-BRAKE-قلب-ترمز-خورده.md
OPS-19,_ops,RULING_UNEXECUTED,false,2,3,4,6.8,open,_ops/CROSS-SESSION-BRIEF-2026-07-30.md
RT-3,runtime,DEBT_HIDDEN,false,3,2,4,6.8,open,F:/ofn-node (git status)
RT-7,runtime,OPEN_WORK,true,2,3,4,6.8,open,F:/ofn-node/docs/OWNER-CHECKLIST.md
RT-10,runtime,RULING_UNEXECUTED,true,3,2,4,6.8,open,E:/wt-eti-fast-convergence-20260912 (git log 620c9b5)
SML-13,agent-prompts,OPEN_WORK,true,3,2,4,6.8,open,agent-prompts/MEGAPROMPT-CONNECT-ALL-2026-09-08.md
F-015,lanes,OPEN_WORK,false,2,3,3,6.6,open,F:/backup/09-LANES/C-QUEUE-HYGIENE/LANE-REPORT.md + BIZ-LEGS + L7/L9/P-PAINTING + 00-SEASON op4-pr240
F-029,lanes,ABANDONED_PLAN,false,2,3,3,6.6,open,F:/backup/09-LANES/Q-MARKET-COMPARE-20260905/LANE-REPORT.md
F-041,06-EVIDENCE,OPEN_WORK,false,2,3,3,6.6,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-052,lanes,OPEN_WORK,false,2,3,3,6.6,open,F:/backup/09-LANES/OCTOPUS-BODY-ADAPTATION-NEXT-20260915/NEXT-ACTIONS.json
F-086,surfaces,OPEN_WORK,false,2,3,3,6.6,open,F:/backup/01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
F-095,lanes,OPEN_WORK,false,2,3,3,6.6,open,F:/backup/09-LANES/OCTOPUS-HARDWARE-EXEC-20260915/LANE-REPORT.md
OPS-18,_ops,SEASON_LEFTOVER,true,3,2,3,6.6,open,_ops/CHECKLIST-lead-arming-2026-08-01.md
PRJ-2,03 - Projects,SEASON_LEFTOVER,true,2,3,3,6.6,open,F:/backup/03 - Projects/Ziman Galerry/PROJECT.md
RT-5,runtime,RULING_UNEXECUTED,false,3,2,3,6.6,open,F:/ofn-node (git log HEAD 0da921b)
F-024,06-EVIDENCE,OPEN_WORK,false,2,3,2,6.4,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/MISSING-WIRING-50-2026-09-03.md
F-034,carried-misc,DEBT_HIDDEN,false,2,3,2,6.4,open,"F:/backup/03 - Projects/Lead-نقاشی/...brushline/60_code/src (orchestrator.py:463, gate.py:7, asset.py:66, content.py:739)"
F-039,surfaces,RULING_UNEXECUTED,false,2,3,2,6.4,open,F:/backup/01 - Dashboard/UNLOCK-REGISTRY-2026-09-08.md
F-040,06-EVIDENCE,OPEN_WORK,false,2,3,2,6.4,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md
F-042,lanes,DEBT_HIDDEN,false,2,3,2,6.4,open,F:/backup/09-LANES/OCTOPUS-PERSISTENT-FLEET-P5P6-20260915/P6/LANE-REPORT.md
F-043,06-EVIDENCE,OPEN_WORK,false,2,3,2,6.4,open,F:/backup/06-EVIDENCE/SENSORIUM-RECEIPT-NONCANONICAL-2026-08-18.md
F-064,lanes,OPEN_WORK,false,2,3,2,6.4,open,F:/backup/09-LANES/MP-EX1-CRITERION-20260907/LANE-REPORT.md + MP-EXEC-EX1-EX2
F-065,lanes,ABANDONED_PLAN,false,2,3,2,6.4,open,F:/backup/09-LANES/L2..L6/LANE-REPORT.md
F-068,06-EVIDENCE,RULING_UNEXECUTED,false,2,3,2,6.4,open,F:/backup/06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/ECONOMIC-LEARNING-CURRENT.md
F-074,06-EVIDENCE,OPEN_WORK,false,2,3,2,6.4,open,F:/backup/06-EVIDENCE/OCTOPUS-TELEGRAM-WEBAPP-PHASE0-2026-08-29.md
ARC-2,archive-cluster,SEASON_LEFTOVER,true,2,2,5,5.0,open,F:/backup/99-ARCHIVE/archive_wt-w1-scale-20260910/metrics/P3-DEFECT.md
GAP-1,runtime,SEASON_LEFTOVER,true,2,2,5,5.0,open,F:/ofn-node/ops/GAP-VERIFY-RESULTS-20260908.jsonl
OPS-6,_ops,SEASON_LEFTOVER,true,2,2,5,5.0,open,_ops/backup/GITWRITE-FAILED.flag
OPS-15,_ops,SEASON_LEFTOVER,true,2,2,5,5.0,open,_ops/debate/SURVIVORS-QUEUE.md
4D-3,4D-Vault,OPEN_WORK,false,2,2,5,5.0,open,4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md
4D-4,4D-Vault,OPEN_WORK,false,2,2,5,5.0,open,4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md
4D-9,4D-Vault,DEBT_HIDDEN,false,2,2,5,5.0,open,4D-Vault/_RECONSTRUCTION-REPORT.txt
4D-21,4d_system,OPEN_WORK,false,2,2,5,5.0,open,4d_system/BACKLOG.md
4D-23,4d_system,DEBT_HIDDEN,false,2,2,5,5.0,open,4d_system/ARCHITECTURAL_SCAN_REPORT.md
4D-27,4d_system,RULING_UNEXECUTED,false,2,2,5,5.0,open,4d_system/docs/B6-SOG-INTEGRATION-STEP1.md
4D-29,4d_system,OPEN_WORK,false,2,2,5,5.0,open,4d_system/CLAUDE.md
4D-31,4d_system,DOC_RUNTIME_DISCREPANCY,false,2,2,5,5.0,open,4d_system/REGISTRY.md
ARC4-1,04 - Architect System,RULING_UNEXECUTED,false,2,2,5,5.0,open,"F:/backup/04 - Architect System/2026-07-31 MASTER-PLAN — OCTOPUS repair-and-complete (EFE-vision, TG-gap, Hebbian-bridge).md"
ARC4-7,04 - Architect System,DEBT_HIDDEN,false,2,2,5,5.0,open,F:/backup/04 - Architect System/architect/01-Project/GAPS.md
ARC-7,archive-cluster,DOC_RUNTIME_DISCREPANCY,false,2,2,5,5.0,open,F:/backup/99-ARCHIVE/mirror-cleanup-20260902/01-TRUTH__CURRENT-TRUTH.md
DOC-1,OCTOPUS-DOCTOR,DEBT_HIDDEN,true,2,2,5,5.0,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها/F-AUTO-FROZEN-CONTROL-PLANE-سبزی-که-هرگز-قرمز-نمی‌شود.md
KN-2,07 - Knowledge,OPEN_WORK,false,2,2,5,5.0,open,F:/backup/07 - Knowledge/genome-system/plan.yaml
OPS-10,_ops,ABANDONED,false,2,2,5,5.0,open,_ops/action_bridge/HANDOFF.md
PRJ-5,03 - Projects,OPEN_WORK,true,2,2,5,5.0,open,F:/backup/03 - Projects/Lead-نقاشی/PROJECT.md
KN-4,07 - Knowledge,SEASON_LEFTOVER,true,2,2,4,4.8,open,F:/backup/07 - Knowledge/genome-system/ledger/ledger-orphans-20260908.jsonl
SE-1,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,2,2,4,4.8,open,01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
SE-6,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,2,2,4,4.8,open,01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
4D-6,4D-Vault,DOC_RUNTIME_DISCREPANCY,false,2,2,4,4.8,open,4D-Vault/09-پیوست‌ها/📄 متن-کامل-handoff.md
4D-10,4D-Vault,OPEN_WORK,false,2,2,4,4.8,open,4D-Vault/07-تحلیل-پژوهش/MAS-Audit-Checklist.md
4D-30,4d_system,DEBT_HIDDEN,false,2,2,4,4.8,open,4d_system/outputs/daemon_state.json
ARC4-3,04 - Architect System,OPEN_WORK,false,2,2,4,4.8,open,F:/backup/04 - Architect System/architect/PROJECT.md
ARC4-4,04 - Architect System,DEBT_HIDDEN,false,2,2,4,4.8,open,F:/backup/04 - Architect System/architect/PROJECT.md
ARC4-9,04 - Architect System,RULING_UNEXECUTED,false,2,2,4,4.8,open,F:/backup/04-SYSTEMS/OCTOPUS-MAX-AUTONOMY-ROADMAP.md
DOC-3,OCTOPUS-DOCTOR,DOC_RUNTIME_DISCREPANCY,true,2,2,4,4.8,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها/F-AUTO-ALERT-18-هشدارِ-تکراری-×346.md
DOC-5,OCTOPUS-DOCTOR,DEBT_HIDDEN,false,2,2,4,4.8,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها/F-02-پاداشِ-خودارجاع.md
DOC-6,OCTOPUS-DOCTOR,DEBT_HIDDEN,false,2,2,4,4.8,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها/F-06-هزینهٔ-صفر.md
DOC-7,OCTOPUS-DOCTOR,RULING_UNEXECUTED,false,2,2,4,4.8,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها/F-08-سوئیت-غیرهرمتیک-گیتِ-زنده.md
DOC-9,OCTOPUS-DOCTOR,DEBT_HIDDEN,true,2,2,4,4.8,open,F:/backup/OCTOPUS-DOCTOR/60-یافته‌ها
GEX-1,_github-export,OPEN_WORK,false,2,2,4,4.8,open,F:/backup/_github-export/ofn-node
GEX-2,_github-export,RULING_UNEXECUTED,false,2,2,4,4.8,open,F:/backup/_github-export/ofn-node/HANDOFF.md
INB-4,00 - Inbox,OPEN_WORK,false,2,2,4,4.8,open,F:/backup/00 - Inbox/AGENT_QUESTIONS.md
INB-13,00 - Inbox,OPEN_WORK,false,2,2,4,4.8,open,F:/backup/00 - Inbox/2026-09-01 START-HERE external-agent discovery pointer.md
KN-3,07 - Knowledge,DEBT_HIDDEN,false,2,2,4,4.8,open,F:/backup/07 - Knowledge/_backups
KN-8,07 - Knowledge,RULING_UNEXECUTED,false,2,2,4,4.8,open,F:/backup/07 - Knowledge/OCTOPUS-TRUTH-2026-08-15/09-OPEN-WORK.md
KN-9,07 - Knowledge,DEBT_HIDDEN,false,2,2,4,4.8,open,F:/backup/07 - Knowledge/Architecture/CURRENT-REALITY.md
OPS-8,_ops,DEBT_HIDDEN,true,2,2,4,4.8,open,_ops/cortex/plans/OCTOPUS-LOOP-CLOSURE-TELEGRAM-2026-08-21.md
OPS-9,_ops,OPEN_WORK,false,2,2,4,4.8,open,_ops/cortex/plans/OCTOPUS-LOOP-CLOSURE-TELEGRAM-2026-08-21.md
OPS-11,_ops,ABANDONED,false,2,2,4,4.8,open,_ops/world_discovery/INTEGRATION-MANIFEST.md
OPS-12,_ops,OPEN_WORK,false,2,2,4,4.8,open,_ops/unified_control/INTEGRATION-PLAN.md
OPS-13,_ops,OPEN_WORK,false,2,2,4,4.8,open,_ops/handshake/CHANGELOG.md
OPS-14,_ops,OPEN_WORK,false,2,2,4,4.8,open,_ops/D1-AUDIT-PACKAGE-2026-08-15/AUDITOR-HANDOFF.md
OPS-23,_ops,OPEN_WORK,false,2,2,4,4.8,open,_ops/PLAN-TG-UI-2026-08-04.md
PRJ-3,03 - Projects,DEBT_HIDDEN,true,2,2,4,4.8,open,F:/backup/03 - Projects/Ziman Galerry/PROJECT.md
PRJ-14,03 - Projects,DEBT_HIDDEN,false,2,2,4,4.8,open,F:/backup/03 - Projects/Lead-نقاشی/06-Board/OCTOPUS-OWNER-BOARD/BOARD.md
RT-4,runtime,OPEN_WORK,false,2,2,4,4.8,open,F:/ofn-node (git status --short | grep '^??')
SML-2,06-RISKS,RULING_UNEXECUTED,false,2,2,4,4.8,open,06-RISKS/OPEN-GATES.md
SML-3,06-RISKS,DEBT_HIDDEN,false,2,2,4,4.8,open,06-RISKS/OPEN-GATES.md
SML-7,01-TRUTH,OPEN_WORK,true,2,2,4,4.8,open,01-TRUTH/SEASON-5-2026-09-04.md
PRJ-13,03 - Projects,SEASON_LEFTOVER,true,2,2,3,4.6,open,F:/backup/03 - Projects/Accounting/PROJECT.md
RT-9,runtime,SEASON_LEFTOVER,true,2,2,3,4.6,open,138:~/ofn/09-LANES/ECONOMIC-LEARNING/runs/
RT-14,runtime,SEASON_LEFTOVER,true,2,2,3,4.6,open,E:/wt-eti-collector-read-20260912 etc. (git log)
SE-4,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,2,2,3,4.6,open,01 - Dashboard/OCTOPUS-VITAL-DATA-2026-09-08.md
SE-7,06-EVIDENCE (season sweep),SEASON_LEFTOVER,true,2,2,3,4.6,open,"06-EVIDENCE (git 66f4ac5, 2026-09-15)"
SE-15,01 - Dashboard (season sweep),SEASON_LEFTOVER,true,2,2,3,4.6,open,01 - Dashboard/UNLOCK-REGISTRY-2026-09-08.md
ARC4-6,04 - Architect System,DEBT_HIDDEN,false,2,2,3,4.6,open,F:/backup/04 - Architect System/architect/PROJECT.md
ARC4-8,04 - Architect System,OPEN_WORK,false,2,2,3,4.6,open,F:/backup/04-SYSTEMS/AGENT-REPORT.md
OPS-20,_ops,OPEN_WORK,false,2,2,3,4.6,open,_ops/HEALTH-BASELINE-2026-07-18.md
OPS-21,_ops,DEBT_HIDDEN,false,2,2,3,4.6,open,_ops/BOTS-REGISTRY.md
RT-6,runtime,DOC_RUNTIME_DISCREPANCY,false,2,2,3,4.6,open,F:/ofn-node/docs/DISCOVERY.md
RT-13,runtime,OPEN_WORK,true,2,2,3,4.6,open,F:/backup (git worktree list + merge-base --is-ancestor)
SML-1,_memory,OPEN_WORK,true,2,2,3,4.6,open,_memory/OCTOPUS/NOW.md
