mode,seed,gen,evals,new_cells,admissions,surviving_offspring,reused_parent_ids,n_elites,coverage,center_free_coverage,n_center_free,n_boundary_elites,qd_score,normalized_qd,mean_fitness,max_fitness,bd_entropy,bd_spread
full,11,14,1600,26,49,49,151,660,0.1611328125,0.17062273108070372,3581,49,382.61828979808763,0.09341266840773624,0.579724681512254,0.9712076380494099,5.027568075237109,0.45589192490039243
full,11,15,1696,26,48,48,151,686,0.16748046875,0.17704551801172858,3581,52,403.8552565042655,0.0985974747324867,0.5887102864493666,0.9712076380494099,5.053507506606519,0.4583984843625161
full,11,16,1792,29,50,50,154,715,0.174560546875,0.18458531136554035,3581,54,422.7910206684495,0.10322046403038318,0.5913161128230063,0.9712076380494099,5.086293538986986,0.4610121100901572
full,11,17,1888,18,39,38,148,733,0.178955078125,0.1893325886623848,3581,55,437.510739493205,0.10681414538408325,0.5968768615186971,0.9712076380494099,5.11871530736587,0.45453015333783753
full,11,18,1984,26,47,45,146,759,0.185302734375,0.19631387880480314,3581,56,458.10704176477236,0.11184253949335263,0.6035665899404116,0.9712076380494099,5.1586116556227415,0.46016780918198075
full,11,19,2080,29,43,43,156,788,0.1923828125,0.20329516894722144,3581,60,478.2324175150944,0.1167559613073961,0.6068939308567188,0.9712076380494099,5.1788107409952255,0.46684544100161685
full,11,20,2176,26,53,51,153,814,0.19873046875,0.2105557106953365,3581,60,499.96170893566233,0.12206096409562069,0.6142035736310348,0.9712076380494099,5.210546502815612,0.4679924626482729
full,11,21,2272,27,47,46,152,841,0.205322265625,0.2172577492320581,3581,63,519.2630610739861,0.12677320827001615,0.6174352688156791,0.9712076380494099,5.238170658698011,0.4635709638602341
full,11,22,2368,18,36,35,159,859,0.209716796875,0.2217257749232058,3581,65,533.2429232256447,0.13018626055313592,0.6207717383302034,0.9712076380494099,5.251473182467013,0.46989125016151967
full,11,23,2464,31,43,43,153,890,0.21728515625,0.2301033230941078,3581,66,555.3747767412502,0.1355895451028443,0.6240166030800565,0.9712076380494099,5.280635005167171,0.46899523415848277
full,11,24,2560,14,41,39,147,904,0.220703125,0.23401284557386204,3581,66,568.3134898036274,0.1387484105965887,0.6286653648270214,0.9712076380494099,5.296437652271433,0.4756035807421334
full,11,25,2656,21,33,32,159,925,0.225830078125,0.23987712929349345,3581,66,584.197267079774,0.14262628590814794,0.6315646130592151,0.9712076380494099,5.3120882334966275,0.4662398135404081
full,11,26,2752,25,43,42,160,950,0.23193359375,0.24657916783021502,3581,67,602.4258116730992,0.14707661417800275,0.6341324333401045,0.9712076380494099,5.3301976667034685,0.463653809731279
full,11,27,2848,25,46,45,161,975,0.238037109375,0.25328120636693663,3581,68,620.5322294479215,0.15149712633005896,0.6364433122542785,0.9712076380494099,5.343987763233164,0.4711649595413144
full,11,28,2944,13,38,37,160,988,0.2412109375,0.2566322256352974,3581,69,633.2687027599775,0.15460661688476013,0.6409602254655643,0.9712076380494099,5.3544431014244696,0.46750664477594683
full,11,29,3040,19,37,37,155,1007,0.245849609375,0.26193800614353535,3581,69,647.4552638602727,0.15807013277838688,0.6429545817877583,0.9712076380494099,5.364164659073105,0.47224709644650775
full,11,30,3136,17,43,42,163,1024,0.25,0.2666852834403798,3581,69,661.8120800577892,0.1615752148578587,0.6463008594314348,0.9712076380494099,5.381677825995495,0.4738820064866115
full,11,31,3232,25,44,44,156,1049,0.256103515625,0.2736665735827981,3581,69,680.5975190354839,0.16616150367077243,0.6488060238660476,0.9712076380494099,5.4005024537930595,0.46858055204701876
full,11,32,3328,27,45,45,173,1076,0.2626953125,0.28092711533091314,3581,70,700.9597489033064,0.17113275119709628,0.6514495807651546,0.9712076380494099,5.415541396156328,0.47930589138567775
full,11,33,3424,23,41,41,161,1099,0.268310546875,0.28707065065624127,3581,71,719.2432156274065,0.17559648819028478,0.6544524255026446,0.9712076380494099,5.430372443092427,0.4749952245190979
full,11,34,3520,25,40,40,158,1124,0.2744140625,0.29377268919296284,3581,72,737.1605039995161,0.17997082617175686,0.6558367473305303,0.9712076380494099,5.447349675775287,0.4763015329472122
full,11,35,3616,18,34,34,158,1142,0.27880859375,0.29851996648980733,3581,73,750.7330512957474,0.18328443635150082,0.6573844582274495,0.9712076380494099,5.455542069955069,0.4762694231887061
full,11,36,3712,20,37,37,153,1162,0.28369140625,0.30382574699804527,3581,74,766.8610072497094,0.18722192559807357,0.6599492317123145,0.9712076380494099,5.471213787513949,0.481632636443623
full,11,37,3808,22,34,34,163,1184,0.2890625,0.30996928232337334,3581,74,784.0460932576461,0.19141750323673,0.6622010922784174,0.9712076380494099,5.484380704199488,0.4818846310809232
full,11,38,3904,15,34,34,158,1199,0.292724609375,0.3141580564088243,3581,74,798.1503254127208,0.19486091929021504,0.6656800045143626,0.9712076380494099,5.491171412912246,0.48262898994893066
full,11,39,4000,26,40,39,164,1225,0.299072265625,0.32030159173415246,3581,78,816.8839428066067,0.1994345563492692,0.6668440349441688,0.9712076380494099,5.510242422829694,0.4822673432597614
full,11,40,4096,18,34,34,166,1243,0.303466796875,0.32504886903099695,3581,79,830.8378394170311,0.2028412693889236,0.6684133864980137,0.9712076380494099,5.519617527901306,0.4896110348625952
full,11,41,4192,17,40,40,166,1260,0.3076171875,0.3297961463278414,3581,79,846.342051618303,0.20662647744587476,0.6717000409669072,0.9712076380494099,5.532104955695138,0.483536998043962
full,11,42,4288,17,30,30,167,1277,0.311767578125,0.33454342362468587,3581,79,860.8860613986087,0.2101772610836447,0.6741472681273365,0.9712076380494099,5.544249588762847,0.48286824975612896
full,11,43,4384,26,44,44,160,1303,0.318115234375,0.34124546216140744,3581,81,879.3286102198769,0.21467983647946212,0.6748492787566207,0.9712076380494099,5.554224504013094,0.480911536649553
full,11,44,4480,10,27,27,161,1313,0.320556640625,0.34375872661267803,3581,82,887.9906407913346,0.21679459003694693,0.676306657114497,0.9712076380494099,5.558618518650381,0.4825392911872367
full,11,45,4576,12,32,30,164,1325,0.323486328125,0.3471097458810388,3581,82,899.591660385663,0.2196268702113435,0.6789371021778589,0.9712076380494099,5.563103315727772,0.4836771642846719
full,11,46,4672,20,33,33,161,1345,0.328369140625,0.35241552638927676,3581,83,913.8659000685776,0.22311179200893008,0.6794542007944815,0.9712076380494099,5.579321244796533,0.49307380508564097
full,11,47,4768,15,27,27,160,1360,0.33203125,0.35660430047472774,3581,83,925.920960548674,0.2260549220089536,0.6808242356975543,0.9712076380494099,5.587425767523057,0.48381984721614857
full,11,48,4864,12,34,34,164,1372,0.3349609375,0.3596760681373918,3581,84,937.6225698641351,0.22891176022073612,0.6833983745365416,0.9712076380494099,5.598911969906354,0.49324048074001625
full,11,49,4960,24,37,37,156,1396,0.3408203125,0.36609885506841666,3581,85,956.2392553894449,0.2334568494603137,0.6849851399637857,0.9712076380494099,5.610656409965621,0.4877176650148483
full,11,50,5056,19,39,38,161,1415,0.345458984375,0.3708461323652611,3581,87,970.8640557535853,0.23702735736171515,0.6861230075997069,0.9712076380494099,5.62091018475377,0.49265949132868603
full,11,51,5152,22,38,37,169,1437,0.350830078125,0.3767104160848925,3581,88,986.6288684154424,0.24087618857798887,0.6865893308388604,0.9712076380494099,5.624567279425831,0.49206961582654485
full,11,52,5248,13,31,31,166,1450,0.35400390625,0.38034068695895,3581,88,997.7736032598245,0.2435970711083556,0.6881197263860859,0.9712076380494099,5.631543405273137,0.4919238520716742
full,11,53,5344,19,44,44,160,1469,0.358642578125,0.3853672158614912,3581,89,1014.1347739833509,0.24759149755452903,0.6903572321193675,0.9712076380494099,5.638334682982004,0.4872137613174365
full,11,54,5440,20,42,41,170,1489,0.363525390625,0.39067299636972913,3581,90,1031.4599936334243,0.25182128750816024,0.692719941996927,0.9712076380494099,5.6447413769507175,0.4865970177257657
full,11,55,5536,15,35,35,166,1504,0.3671875,0.39458251884948337,3581,91,1044.3343549978536,0.25496444213814784,0.6943712466741048,0.9712076380494099,5.648550818145007,0.49392477087842873
full,11,56,5632,18,38,38,159,1522,0.37158203125,0.39960904775202455,3581,91,1058.0238626145842,0.25830660708363873,0.695153654805903,0.9712076380494099,5.65268283566359,0.48958659983712405
full,11,57,5728,19,41,41,170,1541,0.376220703125,0.4046355766545658,3581,92,1074.26057276343,0.2622706476473218,0.6971191257387606,0.9712076380494099,5.65742754040195,0.49373722426597816
full,11,58,5824,24,35,35,163,1565,0.382080078125,0.4110583635855906,3581,93,1092.2394031175343,0.26666001052674176,0.6979165515128014,0.9712076380494099,5.664051760405226,0.4962535904979877
full,11,59,5920,15,36,36,162,1580,0.3857421875,0.4152471376710416,3581,93,1106.1091643162147,0.27004618269438835,0.7000690913393763,0.9712076380494099,5.670692790954272,0.49412681800157726
full,11,60,6016,18,32,32,160,1598,0.39013671875,0.4202736665735828,3581,93,1119.8827938107015,0.2734088852076908,0.7008027495686493,0.9712076380494099,5.675434174219868,0.4849203336517417
full,11,61,6112,14,30,30,160,1612,0.3935546875,0.4241831890533371,3581,93,1131.3488260437368,0.2762082094833342,0.7018292965531866,0.9712076380494099,5.679608690340597,0.4971622505392183
full,11,62,6208,21,35,35,167,1633,0.398681640625,0.4297682211672717,3581,94,1147.894730978575,0.28024773705531614,0.7029361487927587,0.9712076380494099,5.686605091613191,0.49776510225074044
full,11,63,6304,19,28,28,156,1652,0.4033203125,0.4345154984641162,3581,96,1162.8186575961572,0.2838912738271868,0.7038853859540903,0.9712076380494099,5.694777343892488,0.48826009557190975
full,11,64,6400,14,30,30,163,1666,0.40673828125,0.4384250209438704,3581,96,1174.4760465800632,0.28673731605958575,0.7049676149940356,0.9712076380494099,5.697382036488741,0.49033378155036295
full,11,65,6496,15,28,28,161,1681,0.410400390625,0.44233454342362466,3581,97,1186.5820391579623,0.2896928806537994,0.7058786669589305,0.9712076380494099,5.699854149106029,0.5008281799651723
full,11,66,6592,10,30,30,165,1691,0.412841796875,0.44456855626919856,3581,99,1195.675098018205,0.29191286572710085,0.7070816664803105,0.9712076380494099,5.700004227127059,0.4974408668273734
full,11,67,6688,17,34,34,160,1708,0.4169921875,0.4490365819603463,3581,100,1208.6450008389454,0.29507934590794566,0.7076375883131999,0.9712076380494099,5.703341517511863,0.5016772302445147
full,11,68,6784,18,33,33,166,1726,0.42138671875,0.4532253560457973,3581,103,1221.8771854141596,0.2983098597202538,0.707924209394067,0.9712076380494099,5.710370947780488,0.4980575636703532
full,11,69,6880,13,34,34,159,1739,0.424560546875,0.45685562691985476,3581,103,1232.4830420312292,0.30089918018340556,0.7087309039857557,0.9712076380494099,5.712417808816402,0.4956067743350879
full,11,70,6976,8,27,27,171,1747,0.426513671875,0.45908963976542866,3581,103,1240.7902190903164,0.3029272995825968,0.7102405375445429,0.9712076380494099,5.7182922346216944,0.5039892128441738
full,11,71,7072,17,37,35,162,1764,0.4306640625,0.4638369170622731,3581,103,1255.5525395542195,0.30653138172710437,0.7117644782053398,0.9712076380494099,5.726161711976172,0.49318429798919045
full,11,72,7168,18,32,32,163,1782,0.43505859375,0.4688634459648143,3581,103,1269.7471602706946,0.30999686530046255,0.7125404939790655,0.9712076380494099,5.732364805357975,0.48882309183018213
full,11,73,7264,11,30,30,154,1793,0.437744140625,0.47193521362747837,3581,103,1279.8316911949555,0.31245890898314344,0.713793469712747,0.9712076380494099,5.734655369705403,0.4967074196551674
full,11,74,7360,17,32,32,167,1810,0.44189453125,0.4766824909243228,3581,103,1293.5592138531938,0.3158103549446274,0.7146735988139192,0.9712076380494099,5.743416934866062,0.499975928536716
full,11,75,7456,14,26,26,172,1824,0.4453125,0.4797542585869869,3581,106,1303.7766602049824,0.318304848682857,0.7147898356386965,0.9712076380494099,5.749778275342804,0.4958649059100488
full,11,76,7552,19,34,34,163,1843,0.449951171875,0.4847807874895281,3581,107,1317.751594169511,0.3217166977952908,0.7150035779541568,0.9741832060610773,5.755971961083608,0.49959067073211694
full,11,77,7648,15,38,38,159,1858,0.45361328125,0.48896956157497906,3581,107,1331.1848261259865,0.3249962954409147,0.7164611550731897,0.9741832060610773,5.760858765179675,0.49709281093747465
full,11,78,7744,12,32,32,170,1870,0.45654296875,0.4920413292376431,3581,108,1341.343299013285,0.3274763913606653,0.7172958818252861,0.9741832060610773,5.7631921105962185,0.4932699208549962
full,11,79,7840,15,29,29,163,1885,0.460205078125,0.4959508517173974,3581,109,1353.494653967248,0.33044303075372267,0.718034299186869,0.9741832060610773,5.76961604945704,0.5012114795901585
full,11,80,7936,12,29,28,163,1897,0.463134765625,0.4990226193800614,3581,110,1363.246829926762,0.3328239330875884,0.7186330152486885,0.9741832060610773,5.7729348072453055,0.5018966607845827
full,11,81,8032,14,31,31,169,1911,0.466552734375,0.5029321418598157,3581,110,1374.27351313265,0.33551599441715085,0.7191384160819727,0.9741832060610773,5.779103981589724,0.4942310629463158
full,11,82,8128,6,28,28,163,1917,0.468017578125,0.5046076514939961,3581,110,1380.4853493980986,0.33703255600539517,0.7201279861231604,0.9741832060610773,5.780960459281223,0.5037704034589645
full,11,83,8224,14,27,27,163,1931,0.471435546875,0.5079586707623569,3581,112,1391.9970140642495,0.33984302101177966,0.7208684692202224,0.9741832060610773,5.786226624795627,0.506422789258461
full,11,84,8320,12,31,31,165,1943,0.474365234375,0.5113096900307177,3581,112,1403.4915586831614,0.3426493063191312,0.7223322484215962,0.9741832060610773,5.788061436001561,0.4967135293692384
full,11,85,8416,10,28,28,165,1953,0.476806640625,0.5138229544819882,3581,113,1413.1741033914914,0.3450132088358133,0.7235914507892941,0.9741832060610773,5.788980402343671,0.5035191017507645
full,11,86,8512,12,25,25,163,1965,0.479736328125,0.517173973750349,3581,113,1422.135807857774,0.34720112496527683,0.72373323555103,0.9741832060610773,5.791223317598563,0.5026510034279479
full,11,87,8608,13,32,32,175,1978,0.48291015625,0.5208042446244066,3581,113,1433.6463676623289,0.35001132023006076,0.7247959391619458,0.9741832060610773,5.79281359043666,0.5024760278079075
full,11,88,8704,18,36,36,169,1996,0.4873046875,0.5252722703155543,3581,115,1447.174364709838,0.3533140538842378,0.7250372568686564,0.9741832060610773,5.796530019050125,0.494582302919262
full,11,89,8800,17,32,32,162,2013,0.491455078125,0.529740296006702,3581,116,1461.50984732514,0.3568139275696143,0.7260356916667362,0.9741832060610773,5.800880990452185,0.500639162889818
full,11,90,8896,14,27,26,165,2027,0.494873046875,0.5333705668807596,3581,117,1472.6487112435718,0.35953337676845015,0.7265163844319545,0.9741832060610773,5.805988446827435,0.4995446168019836
full,11,91,8992,12,34,34,155,2039,0.497802734375,0.5367215861491204,3581,117,1484.122787339319,0.36233466487776345,0.7278679682880427,0.9741832060610773,5.809162826069905,0.5011238090537514
full,11,92,9088,12,24,24,163,2051,0.500732421875,0.5400726054174811,3581,117,1493.8152705472976,0.3647009937859613,0.7283350904667467,0.9741832060610773,5.808215651421632,0.5016991802672901
full,11,93,9184,9,28,28,156,2060,0.5029296875,0.5425858698687518,3581,117,1502.413541156212,0.3668001809463408,0.7293269617263165,0.9741832060610773,5.810551376324164,0.4958905362135068
full,11,94,9280,15,35,35,170,2075,0.506591796875,0.5467746439542027,3581,117,1514.217476381521,0.3696820010697073,0.7297433621115764,0.9741832060610773,5.8122106492514,0.5073293572789825
full,11,95,9376,10,23,23,162,2085,0.509033203125,0.5495671600111701,3581,117,1522.1292528125384,0.37161358711243614,0.7300380109412654,0.9741832060610773,5.815829124464645,0.5042215691693863
full,11,96,9472,10,26,26,170,2095,0.511474609375,0.5523596760681374,3581,117,1530.9181759194553,0.37375932029283576,0.7307485326584512,0.9741832060610773,5.817982906473529,0.5036655766088001
full,11,97,9568,12,35,35,165,2107,0.514404296875,0.5557106953364982,3581,117,1542.0929875815393,0.37648754579627425,0.7318903595545986,0.9741832060610773,5.8192863772314904,0.4977766373204193
full,11,98,9664,14,29,29,167,2121,0.517822265625,0.5596202178162525,3581,117,1553.8139427294095,0.37934910711167225,0.7325855458413058,0.9741832060610773,5.822028281201802,0.5031782108171352
full,11,99,9760,16,31,31,161,2137,0.521728515625,0.5640882435074002,3581,117,1566.4863550316973,0.38244295777141046,0.7330305826072518,0.9741832060610773,5.826058598560332,0.5095520160680176
full,11,100,9856,13,39,39,167,2150,0.52490234375,0.5677185143814577,3581,117,1579.0974358562219,0.3855218349258354,0.7344639236540567,0.9777056985631819,5.830184434112329,0.5011029757068953
full,11,101,9952,11,34,34,173,2161,0.527587890625,0.5707902820441217,3581,117,1588.8649645516364,0.38790648548623935,0.7352452404218586,0.9777056985631819,5.833435074492473,0.5048936839648657
full,11,102,10048,10,24,24,166,2171,0.530029296875,0.573582798101089,3581,117,1597.2178381819485,0.3899457612748898,0.735706051672938,0.9777056985631819,5.834492063536245,0.5008686198163697
full,11,103,10144,14,29,29,164,2185,0.533447265625,0.5774923205808433,3581,117,1610.2516752275942,0.39312785039736187,0.7369572884336816,0.9777056985631819,5.837519494846455,0.5113384681319209
full,11,104,10240,14,30,29,169,2199,0.536865234375,0.5814018430605976,3581,117,1621.5263706522649,0.3958804615850256,0.7373926196690609,0.9777056985631819,5.839520581847523,0.5096254273808121
full,11,105,10336,11,32,32,165,2210,0.53955078125,0.5844736107232616,3581,117,1630.37387113963,0.3980404958836987,0.7377257335473438,0.9777056985631819,5.841906957490126,0.5013582544866554
full,11,106,10432,10,27,27,167,2220,0.5419921875,0.5869868751745323,3581,118,1639.933800828882,0.4003744630929888,0.7387089192922892,0.9777056985631819,5.843139204044329,0.5099819384291022
full,11,107,10528,5,18,18,173,2225,0.543212890625,0.5883831332030159,3581,118,1644.6921691131652,0.40153617409989384,0.739187491736254,0.9777056985631819,5.844246382198587,0.5077741069384728
full,11,108,10624,10,28,28,161,2235,0.545654296875,0.5911756492599832,3581,118,1653.6818545101946,0.403730921511278,0.7399023957540021,0.9777056985631819,5.846374122850676,0.5048718280157533
full,11,109,10720,8,29,29,172,2243,0.547607421875,0.5931304104998604,3581,119,1661.8108792142148,0.4057155466831579,0.7408875966180182,0.9777056985631819,5.847934384139906,0.5127131005442178
full,11,110,10816,7,31,31,168,2250,0.54931640625,0.5948059201340408,3581,120,1670.7998295710995,0.4079101146413817,0.7425777020315998,0.9777056985631819,5.84904863174525,0.5073266675694151
full,11,111,10912,18,31,31,171,2268,0.5537109375,0.599832449036582,3581,120,1684.6621687228842,0.4112944747858604,0.7427963706891024,0.9777056985631819,5.853041410047457,0.5043239032498481
full,11,112,11008,13,32,32,161,2281,0.556884765625,0.602904216699246,3581,122,1696.4458465051237,0.41417134924441495,0.7437289989062357,0.9777056985631819,5.8551857154597275,0.5061415717389244
full,11,113,11104,12,31,31,166,2293,0.559814453125,0.6059759843619101,3581,123,1706.2957983290528,0.4165761226389289,0.7441324894588106,0.9777056985631819,5.857956797312383,0.5089408917358178
full,11,114,11200,5,26,26,165,2298,0.56103515625,0.6073722423903938,3581,123,1711.7612361506854,0.4179104580446009,0.7448917476721868,0.9777056985631819,5.859101878387368,0.5081419288510698
full,11,115,11296,9,21,21,167,2307,0.563232421875,0.6093270036302709,3581,125,1720.2110548523399,0.41997340206355954,0.7456484849815084,0.9777056985631819,5.860899739943323,0.5025633092043936
full,11,116,11392,19,26,26,164,2326,0.56787109375,0.6140742809271154,3581,127,1734.4639568584926,0.4234531144674054,0.745685278099094,0.9777056985631819,5.864090498664449,0.5049553435519144
full,11,117,11488,6,22,22,169,2332,0.5693359375,0.6157497905612958,3581,127,1740.2396278018036,0.4248631903812997,0.7462434081482863,0.9777056985631819,5.864997023585131,0.5097090889792519
full,11,118,11584,5,25,25,166,2337,0.570556640625,0.6171460485897794,3581,127,1745.5995201653177,0.42617175785286077,0.746940316716011,0.9777056985631819,5.86575748182032,0.5046459480527603
full,11,119,11680,14,27,27,167,2351,0.573974609375,0.6207763194638369,3581,128,1757.2918454250562,0.4290263294494766,0.7474656935027887,0.9777056985631819,5.870726575077375,0.5037881577701082
full,11,120,11776,14,24,24,163,2365,0.577392578125,0.6241273387321977,3581,130,1768.8966334260472,0.43185952964503105,0.7479478365437832,0.9777056985631819,5.871767584260112,0.5140298737678745
full,11,121,11872,9,26,26,164,2374,0.57958984375,0.6266406031834683,3581,130,1776.95252105821,0.4338262990864771,0.7485056954752359,0.9777056985631819,5.874080051579721,0.5176365186585775
full,11,122,11968,14,29,29,173,2388,0.5830078125,0.6302708740575258,3581,131,1788.0215467662645,0.43652869794098254,0.7487527415269114,0.9777056985631819,5.876735315390233,0.5117761647456387
full,11,123,12064,11,33,33,170,2399,0.585693359375,0.6330633901144932,3581,132,1799.286285994776,0.4392788784166934,0.7500151254667679,0.9777056985631819,5.877148072766543,0.5105633064650338
full,11,124,12160,13,30,30,166,2412,0.5888671875,0.636414409382854,3581,133,1811.0652055728642,0.44215459120431255,0.750856221215947,0.9777056985631819,5.879271776947891,0.5079050474240292
full,11,125,12256,8,27,27,165,2420,0.5908203125,0.6386484222284278,3581,133,1819.5766749955292,0.44423258666883036,0.7518911880146815,0.9777056985631819,5.8801319598986375,0.5159183021523224
full,11,126,12352,11,29,29,171,2431,0.593505859375,0.6417201898910919,3581,133,1830.3423619288471,0.44686092820528495,0.7529174668567862,0.9777056985631819,5.882217777775505,0.5129527043885114
full,11,127,12448,9,27,27,156,2440,0.595703125,0.6442334543423625,3581,133,1838.3895572291385,0.44882557549539515,0.7534383431266961,0.9777056985631819,5.882635423772458,0.5152817425379347
full,11,128,12544,6,21,21,172,2446,0.59716796875,0.6459089639765428,3581,133,1844.8748482876672,0.45040889850773125,0.7542415569450807,0.9777056985631819,5.884121362405558,0.5079629580341081
full,11,129,12640,5,22,22,158,2451,0.598388671875,0.6473052220050265,3581,133,1850.3036051198874,0.4517342785937225,0.7549178315462617,0.9777056985631819,5.883955571052712,0.503745831635416
full,11,130,12736,13,26,26,160,2464,0.6015625,0.650935492879084,3581,133,1861.1487628678237,0.4543820221845273,0.7553363485664869,0.9777056985631819,5.88685427147683,0.5060844877951115
full,11,131,12832,9,22,22,170,2473,0.603759765625,0.6534487573303547,3581,133,1868.7633667226073,0.45624105632876155,0.7556665453791376,0.9777056985631819,5.887123120022082,0.5128480624906508
full,11,132,12928,10,25,25,173,2483,0.606201171875,0.6559620217816252,3581,134,1877.4405109402896,0.45835949974128165,0.7561178054531976,0.9777056985631819,5.889557233801968,0.5090986786442633
full,11,133,13024,13,24,24,161,2496,0.609375,0.659313041049986,3581,135,1887.5372570652885,0.4608245256507052,0.7562248626062854,0.9777056985631819,5.892156342628407,0.5092766448294571
full,11,134,13120,5,20,20,171,2501,0.610595703125,0.6607092990784696,3581,135,1892.3441810589673,0.4619980910788494,0.7566350184162204,0.9777056985631819,5.892603038941155,0.5128873210725345
full,11,135,13216,10,33,33,161,2511,0.613037109375,0.663501815135437,3581,135,1902.5553341184516,0.4644910483687626,0.757688305104919,0.9777056985631819,5.893166511825807,0.5097851846208226
full,11,136,13312,7,27,27,166,2518,0.61474609375,0.6654565763753142,3581,135,1909.910530729254,0.4662867506663218,0.7585029907582423,0.9777056985631819,5.894390144240141,0.5116621681851075
full,11,137,13408,10,28,28,174,2528,0.6171875,0.6679698408265847,3581,136,1918.7466478540687,0.46844400582374723,0.7589978828536664,0.9777056985631819,5.895444181291882,0.519272717424228
full,11,138,13504,4,16,16,166,2532,0.6181640625,0.6690868472493717,3581,136,1922.98543709322,0.46947886647783693,0.75947292144282,0.9777056985631819,5.895429926524393,0.5176503023447854
full,11,139,13600,6,18,18,169,2538,0.61962890625,0.6707623568835521,3581,136,1928.2008330923557,0.4707521565166884,0.759732400745609,0.9777056985631819,5.896522385776587,0.5110428803136312
full,11,140,13696,10,22,22,161,2548,0.6220703125,0.6735548729405194,3581,136,1936.6347295228757,0.4728112132624208,0.7600607258724001,0.9777056985631819,5.898767594900431,0.5080288561464901
full,11,141,13792,9,31,31,163,2557,0.624267578125,0.6757888857860933,3581,137,1945.5104651072966,0.4749781408953361,0.760856654324324,0.9777056985631819,5.900240889728902,0.509294803808986
full,11,142,13888,8,22,22,170,2565,0.626220703125,0.6780228986316671,3581,137,1952.994924645237,0.47680540152471607,0.7614015300761158,0.9777056985631819,5.901115740373681,0.5064671235406628
full,11,143,13984,8,26,26,174,2573,0.628173828125,0.680256911477241,3581,137,1960.8193753369737,0.47871566780687835,0.7620751555915172,0.9777056985631819,5.9022917296555875,0.5052403434216928
full,11,144,14080,6,25,25,160,2579,0.629638671875,0.6816531695057246,3581,138,1967.8994914931286,0.4804442117903146,0.7630474957321166,0.9777056985631819,5.903748928143529,0.5067889194303125
full,11,145,14176,7,25,25,171,2586,0.63134765625,0.6836079307456018,3581,138,1974.076483626197,0.481952266510302,0.7633706433202617,0.9777056985631819,5.904922924586355,0.5125928440094301
full,11,146,14272,12,30,30,164,2598,0.63427734375,0.6866796984082658,3581,139,1983.6992936693377,0.48430158536849066,0.7635486118819622,0.9777056985631819,5.907954393441765,0.5112699759126149
full,11,147,14368,10,25,25,170,2608,0.63671875,0.6894722144652332,3581,139,1993.3335464656952,0.4866536978676014,0.7643150101478893,0.9777056985631819,5.909545058215912,0.518386559210343
