tier	pid	ppid	exe	cmd(160)	uptime	ports	script	script_exists
2	17128	20288	C:\Program Files\Python313\python.exe	python  -X utf8 organism.py	0d4h46m	127.0.0.1:8771,127.0.0.1:8777	-	-
2	3900	19236	C:\Program Files\Python313\python.exe	python  -X utf8 cortex\cortex.py	0d4h49m	127.0.0.1:8772	-	-
2	18464	19012	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe" --embedded-browser-webview=1 --webview-exe-name=M365Copilot.exe --we	0d4h56m	-	-	-
2	19284	18464	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe" --type=gpu-process --noerrdialogs --user-data-dir="C:\Users\Armin\Ap	0d4h56m	-	-	-
2	19256	18464	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lan	0d4h56m	-	-	-
2	19376	18464	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lan	0d4h56m	-	-	-
2	20552	18464	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe" --type=renderer --noerrdialogs --user-data-dir="C:\Users\Armin\AppDa	0d3h41m	-	-	-
2	21240	9516	C:\Program Files\ZCode\ZCode.exe	"C:\Program Files\ZCode\ZCode.exe" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-warnings --user-data-d	0d3h41m	-	-	-
2	23544	9516	C:\Program Files\ZCode\ZCode.exe	"C:\Program Files\ZCode\ZCode.exe" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-warnings --video-captu	0d3h40m	-	-	-
2	8096	4380	C:\Program Files\Python313\python.exe	python  -X utf8 live\server.py	0d4h55m	127.0.0.1:8773	-	-
