
TaskPath                                                               TaskName                                                                                   State
\Microsoft\Windows\Flighting\FeatureConfig\                            SafeguardsReconciliation                                                                   Ready
\Microsoft\Windows\Flighting\FeatureConfig\                            UsageDataFlushing                                                                          Ready
\Microsoft\Windows\Flighting\FeatureConfig\                            UsageDataReceiver                                                                          Ready
\Microsoft\Windows\Flighting\FeatureConfig\                            UsageDataReporting                                                                         Ready
\Microsoft\Windows\Flighting\OneSettings\                              RefreshCache                                                                               Ready
\Microsoft\Windows\Hotpatch\                                           Monitoring                                                                                 Ready
\Microsoft\Windows\input\                                              InputSettingsRestoreDataAvailable                                                          Ready
\Microsoft\Windows\input\                                              LocalUserSyncDataAvailable                                                                 Ready
\Microsoft\Windows\input\                                              MouseSyncDataAvailable                                                                     Ready
\Microsoft\Windows\input\                                              PenSyncDataAvailable                                                                       Ready
\Microsoft\Windows\input\                                              RemoteMouseSyncDataAvailable                                                               Ready
\Microsoft\Windows\input\                                              RemotePenSyncDataAvailable                                                                 Ready
\Microsoft\Windows\input\                                              RemoteTouchpadSyncDataAvailable                                                            Ready
\Microsoft\Windows\input\                                              syncpensettings                                                                            Ready
\Microsoft\Windows\input\                                              TouchpadSyncDataAvailable                                                                  Ready
\Microsoft\Windows\InstallService\                                     RestoreDevice                                                                              Ready
\Microsoft\Windows\InstallService\                                     ScanForUpdates                                                                             Ready
\Microsoft\Windows\InstallService\                                     ScanForUpdatesAsUser                                                                       Ready
\Microsoft\Windows\International\                                      Synchronize Language Settings                                                              Ready
\Microsoft\Windows\Kernel\                                             La57Cleanup                                                                                Ready
\Microsoft\Windows\LanguageComponentsInstaller\                        Installation                                                                               Ready
\Microsoft\Windows\LanguageComponentsInstaller\                        ReconcileLanguageResources                                                                 Ready
\Microsoft\Windows\Location\                                           WindowsActionDialog                                                                        Ready
\Microsoft\Windows\Maintenance\                                        WinSAT                                                                                     Ready
\Microsoft\Windows\Management\Provisioning\                            Cellular                                                                                   Ready
\Microsoft\Windows\Management\Provisioning\                            Logon                                                                                      Ready
\Microsoft\Windows\Maps\                                               MapsToastTask                                                                              Ready
\Microsoft\Windows\MemoryDiagnostic\                                   AutomaticOfflineMemoryDiagnostic                                                           Ready
\Microsoft\Windows\MemoryDiagnostic\                                   ProcessMemoryDiagnosticEvents                                                              Ready
\Microsoft\Windows\MUI\                                                LPRemove                                                                                   Ready
\Microsoft\Windows\Multimedia\                                         SystemSoundsService                                                                      Running
\Microsoft\Windows\Network Connectivity Status Indicator\              NcsiIdentifyUserProxies                                                                    Ready
\Microsoft\Windows\NlaSvc\                                             WiFiTask                                                                                   Ready
\Microsoft\Windows\PCRPF\                                              PCR Prediction Framework Firmware Update Task                                              Ready
\Microsoft\Windows\PerformanceTrace\                                   ShowFeedbackToast                                                                          Ready
\Microsoft\Windows\PerformanceTrace\                                   WhesvcToast                                                                                Ready
\Microsoft\Windows\Plug and Play\                                      Device Install Group Policy                                                                Ready
\Microsoft\Windows\Plug and Play\                                      Device Install Reboot Required                                                             Ready
\Microsoft\Windows\Plug and Play\                                      Sysprep Generalize Drivers                                                                 Ready
\Microsoft\Windows\Power Efficiency Diagnostics\                       AnalyzeSystem                                                                              Ready
\Microsoft\Windows\Printing\                                           EduPrintProv                                                                               Ready
\Microsoft\Windows\Printing\                                           PrinterCleanupTask                                                                         Ready
\Microsoft\Windows\ReFsDedupSvc\                                       Initialization                                                                             Ready
\Microsoft\Windows\Registry\                                           RegIdleBackup                                                                              Ready
\Microsoft\Windows\Servicing\                                          StartComponentCleanup                                                                      Ready
\Microsoft\Windows\Setup\                                              PITRTask                                                                                   Ready
\Microsoft\Windows\Setup\                                              SetupRecoveryDataTask                                                                      Ready
\Microsoft\Windows\Shell\                                              CreateObjectTask                                                                           Ready
\Microsoft\Windows\Shell\                                              FamilySafetyMonitor                                                                        Ready
\Microsoft\Windows\Shell\                                              FamilySafetyRefreshTask                                                                    Ready
\Microsoft\Windows\Shell\                                              IndexerAutomaticMaintenance                                                                Ready
\Microsoft\Windows\Shell\                                              ThemesSyncedImageDownload                                                                  Ready
\Microsoft\Windows\SpacePort\                                          SpaceAgentTask                                                                             Ready
\Microsoft\Windows\SpacePort\                                          SpaceManagerTask                                                                           Ready
\Microsoft\Windows\StateRepository\                                    MaintenanceTasks                                                                           Ready
\Microsoft\Windows\Storage Tiers Management\                           Storage Tiers Management Initialization                                                    Ready
\Microsoft\Windows\Subscription\                                       EnableLicenseAcquisition                                                                   Ready
\Microsoft\Windows\Sustainability\                                     PowerGridForecastTask                                                                      Ready
\Microsoft\Windows\Sustainability\                                     SustainabilityTelemetry                                                                    Ready
\Microsoft\Windows\Sysmain\                                            ResPriStaticDbSync                                                                         Ready
\Microsoft\Windows\Sysmain\                                            WsSwapAssessmentTask                                                                       Ready
\Microsoft\Windows\SystemRestore\                                      SR                                                                                         Ready
\Microsoft\Windows\Task Manager\                                       Interactive                                                                                Ready
\Microsoft\Windows\TextServicesFramework\                              MsCtfMonitor                                                                               Ready
\Microsoft\Windows\Time Synchronization\                               ForceSynchronizeTime                                                                       Ready
\Microsoft\Windows\Time Synchronization\                               SynchronizeTime                                                                            Ready
\Microsoft\Windows\Time Zone\                                          SynchronizeTimeZone                                                                        Ready
\Microsoft\Windows\UPnP\                                               UPnPHostConfig                                                                             Ready
\Microsoft\Windows\USB\                                                Usb-Notifications                                                                          Ready
\Microsoft\Windows\WCM\                                                WiFiTask                                                                                   Ready
\Microsoft\Windows\WDI\                                                ResolutionHost                                                                             Ready
\Microsoft\Windows\Windows Defender\                                   Windows Defender Cache Maintenance                                                         Ready
\Microsoft\Windows\Windows Defender\                                   Windows Defender Cleanup                                                                   Ready
\Microsoft\Windows\Windows Defender\                                   Windows Defender Scheduled Scan                                                            Ready
\Microsoft\Windows\Windows Defender\                                   Windows Defender Verification                                                              Ready
\Microsoft\Windows\Windows Error Reporting\                            QueueReporting                                                                             Ready
\Microsoft\Windows\Windows Filtering Platform\                         BfeOnServiceStartTypeChange                                                                Ready
\Microsoft\Windows\Windows Media Sharing\                              UpdateLibrary                                                                              Ready
\Microsoft\Windows\WindowsColorSystem\                                 Calibration Loader                                                                         Ready
\Microsoft\Windows\WindowsUpdate\                                      Scheduled Start                                                                            Ready
\Microsoft\Windows\Wininet\                                            CacheTask                                                                                Running
\Microsoft\Windows\WlanSvc\                                            CDSSync                                                                                    Ready
\Microsoft\Windows\WlanSvc\                                            MoProfileManagement                                                                        Ready
\Microsoft\Windows\Work Folders\                                       Work Folders Logon Synchronization                                                         Ready
\Microsoft\Windows\Work Folders\                                       Work Folders Maintenance Work                                                              Ready
\Microsoft\Windows\WwanSvc\                                            NotificationTask                                                                           Ready
\Microsoft\Windows\WwanSvc\                                            OobeDiscovery                                                                              Ready
\Microsoft\XblGameSave\                                                XblGameSaveTask                                                                            Ready
\Mozilla\                                                              Firefox Background Update S-1-5-21-1904952333-486408809-1363513654-1000 308046B0AF4A39CB   Ready
\Mozilla\                                                              Firefox Default Browser Agent 308046B0AF4A39CB                                             Ready
\SoftLanding\S-1-5-21-1904952333-486408809-1363513654-1000\            SoftLandingCreativeManagementTask                                                          Ready
\SoftLanding\S-1-5-21-1904952333-486408809-1363513654-1000\            SoftLandingDeferralTask-{865738a0-101c-4ff8-af43-78aab8c8d8ef}                             Ready



