branch,head12,fully_merged_into_main,last_commit_date,commits_ahead_of_main,commits_behind_main,class
docs/waiver-rescope-addendum-20260902,64ccc9df6a62,NO,2026-09-02,4,170,idle
evidence/vault-scan-f-drive-20260902,6449b490be49,NO,2026-09-02,2,178,idle
feat/halt-run-gate-chaos-20260902,788b76ecc0ef,NO,2026-09-02,24,179,idle
feat/p1-envelope-runstore-20260902,a77494bc2ca7,NO,2026-09-02,12,179,idle
feat/r0-revenue-spine-20260902,7f8c8dc64ca6,NO,2026-09-02,2,169,idle
fix/demand-harvest,864a40534ae4,NO,2026-09-02,13,168,idle
gov/v4-independence-codeowners-20260902,56e068c79238,NO,2026-09-02,2,166,idle
lane/economic-learning-loop,9237ccfe5696,NO,2026-09-02,4,175,idle
lane/self-awareness,f255856eb84f,NO,2026-09-02,3,177,idle
lane/self-awareness-webviewer,2b6311cbf1e6,NO,2026-09-02,1,175,idle
lane/self-completing-doctor,44129564c46a,NO,2026-09-02,11,176,idle
tools/rotate-all-20260902,8377224e2933,NO,2026-09-02,1,174,idle
cursor/outbox-negatives-enqueue-6a56,0cf684d50b0c,NO,2026-09-01,1,197,idle
docs/acceptance-accepted,49547daf6e85,NO,2026-09-01,9,191,idle
docs/capability-world-fit-20260901,922262309415,NO,2026-09-01,1,205,idle
docs/deep-debug-final,26b94467536f,NO,2026-09-01,1,194,idle
docs/ignition-receipt,221deab1ac33,NO,2026-09-01,1,197,idle
docs/market-final,368cb70f5cfe,NO,2026-09-01,1,204,idle
docs/protection-payload,c55efdd2d0a2,NO,2026-09-01,6,198,idle
docs/round2-artifact,e42bce29410c,NO,2026-09-01,1,186,idle
docs/s2b-decisions-20260901,2bb1dd8c2685,NO,2026-09-01,1,211,idle
docs/s2b-receipt-backfill-20260901,19445fd97108,NO,2026-09-01,1,209,idle
docs/s6d08-and-market,a94a647e6855,NO,2026-09-01,1,204,idle
docs/s6d10-s6d11,732e1770b307,NO,2026-09-01,1,201,idle
docs/season-2026-0901,f1e537ed7a53,NO,2026-09-01,1,208,idle
export/octopus-a702-delta-20260901,a9959755f762,NO,2026-09-01,1,200,idle
export/outbox-item1-negatives,c5e5194995cf,NO,2026-09-01,2,194,idle
export/outbox-item1-negatives-v2,9ff4591e3e88,NO,2026-09-01,2,194,idle
feat/s2b-A-claim-adapter-20260901,b9e4024e721b,NO,2026-09-01,2,211,idle
feat/s2b-B-store-hardening-20260901,c10bd7c76d57,NO,2026-09-01,3,211,idle
feat/s2b-C-verifier-reach-20260901,8f0df36ae84b,NO,2026-09-01,4,211,idle
feat/s2b-claim-record-20260901,653a4d5b4c6a,NO,2026-09-01,4,211,idle
feat/survival-loop-shadow,0d086f199472,NO,2026-09-01,1,199,idle
feat/survival-telegram-bridge,684b103bbce9,NO,2026-09-01,2,197,idle
fix/contradiction-scan,66c62281b3f3,NO,2026-09-01,2,206,idle
fix/d0-blocked-hygiene,f692fa5c83d0,NO,2026-09-01,1,202,idle
fix/deep-scan-3fixes,ba67156318c5,NO,2026-09-01,3,189,idle
fix/migration-collision-guard,31f17206b29b,NO,2026-09-01,1,195,idle
fix/outbox-hardening,c03ed2891c13,NO,2026-09-01,1,198,idle
fix/outbox-lossless-guard,b0ca4b8e5b93,NO,2026-09-01,1,187,idle
fix/s2b-ci-and-fixture,4c8dbc75266a,NO,2026-09-01,1,207,idle
governance/independent-review-gate,b283ae7180d1,NO,2026-09-01,1,189,idle
test/raw-key-t1t2t3,87425b89ab07,NO,2026-09-01,1,189,idle
docs/accounting-recovery-34-20260831,1fd573e07b71,NO,2026-08-31,1,216,STALE
docs/lineage-map-20260831,b4e8061bad99,NO,2026-08-31,1,216,STALE
docs/megaprompts-owner-ask-20260831,625d1e9e0183,NO,2026-08-31,1,216,STALE
docs/owner-queue-status-20260831,dcfc75c0e6b7,NO,2026-08-31,1,216,STALE
export/observatory-fixture-20260830,fa2a4c16e291,NO,2026-08-31,2,221,STALE
export/restore-drill-20260830,805a0bae50cf,NO,2026-08-31,2,221,STALE
hygiene/agent-context-phase1-20260831,d9cf5c9d790c,NO,2026-08-31,3,221,STALE
hygiene/audit-20260831,14357e7affa3,NO,2026-08-31,2,221,STALE
integration/owner-brain-p0-plus-win-20260831,26ed609003c8,NO,2026-08-31,8,222,STALE
revert/pr6-if-owner-ratifies,082322a18911,NO,2026-08-31,1,221,STALE
backup/board138-20260830,c1969bce5384,yes,2026-08-30,0,-,idle
backup/hypno-fugu-mini-20260830,0f225571d16e,NO,2026-08-30,7,256,STALE
chore/untrack-runtime-artifacts-20260830,db6b0ec2d512,NO,2026-08-30,4,222,STALE
export/octopus-surgery-20260830,526613e2483f,NO,2026-08-30,1,222,STALE
export/octopus-surgery-20260830-193052,59ea2fb1fd63,NO,2026-08-30,6,222,STALE
ofn/heartbeat,caf5e70057a2,NO,2026-08-30,1,256,STALE
work/board182-test-discovery-init,0e43f041f99b,NO,2026-08-30,3,256,STALE
work/r1-portability,456562449c2e,NO,2026-08-30,5,222,STALE
work/truth-record-20260830,ebf8b7e89b68,NO,2026-08-30,4,222,STALE
archive/board180-unprotected-20260830,c6d6a47bbfa4,NO,2026-08-29,18,256,STALE
backup/board180-20260830,28209effa84a,NO,2026-08-29,17,256,STALE
backup/board182-20260830,294d51c1e01d,NO,2026-08-29,1,256,STALE
chore/untrack-evidence-inbox-20260830,836f7bb1300d,NO,2026-08-29,19,256,STALE
audit/cursor-20260828,d94c42cb15d6,NO,2026-08-28,1,227,STALE
audit/senior-auditor-20260828-138,f09681ad315f,yes,2026-08-28,0,-,idle
audit/zcode-20260828,678975bb43c3,NO,2026-08-28,20,256,STALE
discovery/138-body-map-20260828,56e936944dee,yes,2026-08-28,0,-,idle
octopus/reconcile-138-20260827,d3fb20c14179,yes,2026-08-27,0,-,idle
ofn/cockpit-v2-20260827,6070f519b94d,yes,2026-08-27,0,-,idle
ofn-v1.0-three-business-owner-center,859edfc8433c,yes,2026-08-26,0,-,idle
ofn/evolve-20260826-anatomy-180,36e579ef1020,NO,2026-08-26,15,256,STALE
ofn/board-snapshot-20260816,32a81d034acb,NO,2026-08-16,1,241,STALE
rescue/octopus-live-tree-20260821,4dcaa821c945,NO,2026-07-14,209,256,STALE
