sandbox: C:\Users\Armin\AppData\Local\Temp\octopus-F-274-a5tpziqx
REAL_VAULT(candidate): F:\c72base
running 274 files

[1/274] PASS   python test_client.py
[88/274] PASS   python test_heart_cognition_wiring.py
[89/274] PASS   python test_heart_control.py
[90/274] PASS   python test_heart_loop.py
[91/274] PASS   python test_heart_work.py
[92/274] PASS   python test_needs_nudge.py
[93/274] PASS   python test_cortex.py
[94/274] PASS   python test_live_cockpit.py
[95/274] PASS   python test_telegram_poll_e2e.py
[96/274] PASS   python test_self_improve.py
[97/274] PASS   python test_p0_security_fixes.py
[98/274] PASS   python test_httpauth.py
[99/274] PASS   python test_go_live.py
[100/274] PASS   python S1-04_test_cockpit_stop_guard.py
[101/274] PASS   python S1-05_test_ap_binding.py
[102/274] PASS   python test_tradequote_bridge.py
[103/274] PASS   python test_wlos_bridge.py
[104/274] PASS   python test_outcome_spine.py
[105/274] PASS   python test_decision_receipt.py
[106/274] PASS   python test_memory_gate.py
[107/274] PASS   python test_event_spine.py
[108/274] PASS   python test_context_fence.py
[109/274] PASS   python test_context_fence_wiring.py
[110/274] PASS   python test_menu_v2_wiring.py
[111/274] PASS   python test_verdict_outcome.py
[112/274] PASS   python test_llm_fence_coverage.py
[113/274] PASS   python test_stateless_cb_restart.py
[114/274] PASS   python test_deferral_rebuild_boot.py
[115/274] PASS   python test_journal_recovery.py
[116/274] PASS   python test_boot_certificate.py
[117/274] PASS   python test_restart_battery.py
[118/274] PASS   python test_spine_single_surface.py
[119/274] PASS   python test_learning_loop.py
[120/274] PASS   python test_beat_scheduler.py
[121/274] PASS   python test_brain_core.py
[122/274] PASS   python test_research_loop.py
[123/274] PASS   python test_pending_card_recovery.py
[124/274] PASS   python test_paper_lead_mvo_e2e.py
[125/274] PASS   python test_llm_call_inventory.py
[126/274] PASS   python test_fence_adapter_wiring.py
[127/274] PASS   python test_spine_multidomain.py
[128/274] PASS   python test_llm_intent.py
[129/274] PASS   python test_llm_intent_wiring.py
[130/274] PASS   python test_consent_firewall.py
[131/274] PASS   python test_lead_candidate_inbox.py
[132/274] PASS   python test_lead_wiring.py
[133/274] PASS   python test_lead_effect_gate.py
[134/274] PASS   python test_effector_gate_bridge.py
[135/274] PASS   python test_lead_boundary_http.py
[136/274] PASS   python test_metric_separation.py
[137/274] PASS   python test_menu_v2_honesty.py
[138/274] PASS   python test_tg_verdict_durable.py
[139/274] PASS   python test_activation_untracked.py
[140/274] PASS   python test_ps_writeback_verdict.py
[141/274] PASS   python test_drawdown_shadow.py
[142/274] PASS   python test_cb_token_legmiss.py
[143/274] PASS   python test_spine_sanitize.py
[144/274] PASS   python test_stop_contract.py
[145/274] PASS   python test_lead_outcome_recorder.py
[146/274] PASS   python test_lead_outcome_wiring.py
[147/274] PASS   python test_lead_leg_inbox.py
[148/274] PASS   python test_tg_intent.py
[149/274] PASS   python test_tg_metadata_scan.py
[150/274] PASS   python test_ziman_branding.py
[151/274] PASS   python test_merge_applies_knob.py
[152/274] PASS   python test_mining_wiring.py
[153/274] PASS   python test_web_research.py
[154/274] PASS   python test_metacognitive.py
[155/274] PASS   python test_discoveries.py
[156/274] PASS   python test_events.py
[157/274] PASS   python test_part_loops.py
[158/274] PASS   python test_auto_approve.py
[159/274] PASS   python test_autonomy_matrix.py
[160/274] PASS   python test_business_brain.py
[161/274] PASS   python test_vault_updater.py
[162/274] PASS   python test_vault_updater_apply.py
[163/274] PASS   python test_goal_directed.py
[164/274] PASS   python test_stress.py
[165/274] PASS   python test_innervation.py
[166/274] PASS   python test_ignition.py
[167/274] PASS   python test_standards_s.py
[168/274] PASS   python test_replay_s.py
[169/274] PASS   python test_softwta_shadow.py
[170/274] PASS   python test_registry_scan.py
[171/274] PASS   python test_phase1_envelope.py
[172/274] PASS   python test_route_scorer.py
[173/274] PASS   python test_calibration_probe.py
[174/274] PASS   python test_consolidate.py
[175/274] PASS   python test_execution_board.py
[176/274] PASS   python test_depth_guard.py
[177/274] PASS   python test_guidance_box.py
[178/274] PASS   python test_tg_api.py
[179/274] PASS   python test_tg_actions.py
[180/274] PASS   python test_tg_render.py
[181/274] PASS   python test_tg_center.py
[182/274] PASS   python test_tg_power.py
[183/274] PASS   python test_tg_mission.py
[184/274] PASS   python test_tg_mission_runner.py
[185/274] PASS   python test_code_autonomy.py
[186/274] PASS   pytest test_ziman_leg.py
[187/274] PASS   pytest test_ziman_phase2.py
[188/274] PASS   pytest test_cartographer_leg.py
[189/274] PASS   pytest test_cartographer_wiring.py
[190/274] PASS   python test_master_halt.py
[191/274] PASS   python test_d1_outbound_halt.py
[192/274] PASS   python test_d2_halt_coverage.py
[193/274] PASS   python test_panic_command.py
[194/274] PASS   python test_tg_restart.py
[195/274] PASS   python test_backup_visibility.py
[196/274] PASS   python test_cortex_shadow_wiring.py
[197/274] PASS   python test_route_scorer_wire.py
[198/274] PASS   python test_leg_chain_wire.py
[199/274] PASS   python test_render_legs.py
[200/274] PASS   python test_new_legs.py
[201/274] PASS   python test_school_bridge.py
[202/274] PASS   python test_self_claims.py
[203/274] PASS   python test_octopus_logger_wire.py
[204/274] PASS   python test_improve_refractory.py
[205/274] PASS   python test_wiring_cleanup.py
[206/274] PASS   python test_deadwrite_readers.py
[207/274] PASS   python test_business_legs_shape.py
[208/274] PASS   python test_correlation_id_generated.py
[209/274] PASS   python test_channel_status_stale_not_green.py
[210/274] PASS   python test_cockpit_truthful.py
[211/274] PASS   python test_tg_exec_consumer.py
[212/274] PASS   pytest test_ziman_wiring.py
[213/274] PASS   pytest test_ziman_biology.py
[214/274] PASS   python test_brain_fix.py
[215/274] PASS   python test_lead_scorer.py
[216/274] PASS   python test_lead_discovery_beat.py
[217/274] PASS   python test_harvest_austender.py
[218/274] PASS   python test_cadence_aliasing.py
[219/274] PASS   python test_organism_honesty.py
[220/274] PASS   python test_genome_safety.py
[221/274] PASS   python test_truthmap_fixes.py
[222/274] PASS   python test_p4_p9_fixes.py
[223/274] PASS   python test_doctor_selfknowledge.py
[224/274] PASS   python test_email_lead_bridge.py
[225/274] PASS   python test_lead_llm_enrich.py
[226/274] PASS   python test_lead_quote_chain.py
[227/274] PASS   python test_durable_journal.py
[228/274] PASS   python test_ui_truth.py
[229/274] PASS   python test_organ_console.py
[230/274] PASS   python test_organ_create.py
[231/274] PASS   python test_calibration_loop.py
[232/274] PASS   python test_cockpit_golive_honesty.py
[233/274] PASS   python test_legs_freshness.py
[234/274] PASS   python test_ziman_catalog_bridge.py
[235/274] PASS   python test_legs_cultivation.py
[236/274] PASS   python test_pii_read_guard.py
[237/274] PASS   python test_adversarial_eval.py
[238/274] PASS   python test_personal_ledger.py
[239/274] PASS   python test_pocketsmith_import.py
[240/274] PASS   python test_claims_backfill.py
[241/274] PASS   python test_pocketsmith_api.py
[242/274] PASS   python test_ps_writeback.py
[243/274] PASS   python test_accountant.py
[244/274] PASS   python test_txn_store.py
[245/274] PASS   python test_asset_map.py
[246/274] PASS   python test_finance_card.py
[247/274] PASS   python test_attributor.py
[248/274] PASS   python test_txn_categorize.py
[249/274] PASS   python test_acct_review.py
[250/274] PASS   python test_review_telegram.py
[251/274] PASS   python test_ledger_core.py
[252/274] PASS   python test_raw_store.py
[253/274] PASS   python test_recon.py
[254/274] PASS   python test_journal_bridge.py
[255/274] PASS   python test_books_telegram.py
[256/274] PASS   python test_company_books.py
[257/274] PASS   python test_books_xero.py
[258/274] PASS   python test_acct_memory.py
[259/274] PASS   python test_acct_beat.py
[260/274] PASS   python test_brain_cortisol.py
[261/274] PASS   pytest test_blocker_fixes_2026_07_22.py
[262/274] PASS   python test_chrono_schema_migration.py
[263/274] PASS   python test_effector_idempotency.py
[264/274] PASS   python test_c4_exact_authorization.py
[265/274] PASS   python test_c41_e4_id_only.py
[266/274] PASS   python test_c5_cas_execution.py
[267/274] PASS   python test_c6_receipt_reconciliation.py
[268/274] PASS   python test_d3_provider_effect_halt.py
[269/274] PASS   python test_d4_launcher_halt.py
[270/274] PASS   python test_d5_halt_integration.py
[271/274] PASS   python test_pre0_real_entry.py
[272/274] PASS   python test_tg_approval_store.py
[273/274] PASS   python test_fusion_sim.py
[274/274] PASS   python test_curriculum.py

counts: {'PASS': 274}
barrier: 0 attempted live-writes, 0 external-network attempts, 0 barrier-install-failures, 247 children-with-evidence
report: F:\c72base\OCTOPUS-PRIME\phase-0\test-authority\FULL-SANDBOX-TEST-REPORT.json
